"Game Title","Region","Artist","Song Title"
"SingStar Norske Hits (Norway)","Norway","Annie","Heartbeat"
"SingStar Norske Hits (Norway)","Norway","Arne Schau Knudsen","Gal av lengsel"
"SingStar Norske Hits (Norway)","Norway","Avril Lavigne","Sk8er Boi"
"SingStar Norske Hits (Norway)","Norway","Beyonce","Crazy in Love"
"SingStar Norske Hits (Norway)","Norway","Bigbang","Girl in Oslo"
"SingStar Norske Hits (Norway)","Norway","The Clash","Should I Stay or Should I Go?"
"SingStar Norske Hits (Norway)","Norway","David","Wild At Heart"
"SingStar Norske Hits (Norway)","Norway","Dollie","Lenge Leve Livet"
"SingStar Norske Hits (Norway)","Norway","DumDum Boys","Splitter Pine"
"SingStar Norske Hits (Norway)","Norway","Hoobastank","The Reason"
"SingStar Norske Hits (Norway)","Norway","Jan Eggum","På an igjen"
"SingStar Norske Hits (Norway)","Norway","Joss Stone","Super Duper Love (Are You Digging On Me?)"
"SingStar Norske Hits (Norway)","Norway","Kaptein Sabeltann","Vi seiler vår egen sjø"
"SingStar Norske Hits (Norway)","Norway","The Kids","Forelska i lærer’n"
"SingStar Norske Hits (Norway)","Norway","Kine","In the air tonight"
"SingStar Norske Hits (Norway)","Norway","Kylie Minogue","In Your Eyes"
"SingStar Norske Hits (Norway)","Norway","Manfred Mann","Do Wah Diddy"
"SingStar Norske Hits (Norway)","Norway","Maria Mena","My Lullaby"
"SingStar Norske Hits (Norway)","Norway","The Monroes","Sunday people"
"SingStar Norske Hits (Norway)","Norway","Opus X","Loving you girl"
"SingStar Norske Hits (Norway)","Norway","Philip & Sandra","Sommerflørt"
"SingStar Norske Hits (Norway)","Norway","Robbie Williams","Let Me Entertain You"
"SingStar Norske Hits (Norway)","Norway","Rune Rudberg","Ut mot havet"
"SingStar Norske Hits (Norway)","Norway","The September When","Cries like a baby"
"SingStar Norske Hits (Norway)","Norway","Sister Sledge","We are family"
"SingStar Norske Hits (Norway)","Norway","Sputnik","Lukk opp din hjertedør"
"SingStar Norske Hits (Norway)","Norway","Steppenwolf","Born to be Wild"
"SingStar Norske Hits (Norway)","Norway","Tine","Vil Ha Deg"
"SingStar Norske Hits (Norway)","Norway","Tom Jones","It’s not unusual"
"SingStar Party (Europe, Australia)","Europe/Australia","Alicia Keys","Fallin'"
"SingStar Party (Europe, Australia)","Europe/Australia","Ashford & Simpson","Solid"
"SingStar Party (Europe, Australia)","Europe/Australia","Bananarama","Venus"
"SingStar Party (Europe, Australia)","Europe/Australia","Bill Withers","Ain't No Sunshine"
"SingStar Party (Europe, Australia)","Europe/Australia","Billy Crawford","Bright Light"
"SingStar Party (Europe, Australia)","Europe/Australia","Blu Cantrell","Hit 'Em Up Style (Oops!)"
"SingStar Party (Europe, Australia)","Europe/Australia","Bob Marley and the Wailers","No Woman No Cry"
"SingStar Party (Europe, Australia)","Europe/Australia","The Buggles","Video Killed the Radio Star"
"SingStar Party (Europe, Australia)","Europe/Australia","Busted","Year 3000"
"SingStar Party (Europe, Australia)","Europe/Australia","Culture Club","Do You Really Want to Hurt Me"
"SingStar Party (Europe, Australia)","Europe/Australia","Cyndi Lauper","Girls Just Want to Have Fun"
"SingStar Party (Europe, Australia)","Europe/Australia","David Lee Roth","Just a Gigolo/I Ain't Got Nobody"
"SingStar Party (Europe, Australia)","Europe/Australia","Destiny's Child","Survivor"
"SingStar Party (Europe, Australia)","Europe/Australia","Dido","White Flag"
"SingStar Party (Europe, Australia)","Europe/Australia","Duran Duran","Hungry Like the Wolf"
"SingStar Party (Europe, Australia)","Europe/Australia","Elton John & Kiki Dee","Don't Go Breaking My Heart"
"SingStar Party (Europe, Australia)","Europe/Australia","Elvis Presley","Way Down"
"SingStar Party (Europe, Australia)","Europe/Australia","Franz Ferdinand","Take Me Out"
"SingStar Party (Europe, Australia)","Europe/Australia","George Michael","Faith"
"SingStar Party (Europe, Australia)","Europe/Australia","Jamiroquai","Cosmic Girl"
"SingStar Party (Europe, Australia)","Europe/Australia","Javine","Real Things"
"SingStar Party (Europe, Australia)","Europe/Australia","Kylie Minogue","I Should Be So Lucky"
"SingStar Party (Europe, Australia)","Europe/Australia","Little Richard","Tutti Frutti"
